# schema_version=11
# serial_port=/dev/serial/by-id/usb-FTDI_FT232R_USB_UART_A602K5MM-if00-port0
# baud=115200
# poll_interval_seconds=8
# timestamp_format=HH:MM:SS Europe/Chisinau
# virtual_bms_service=com.victronenergy.battery.rs485_dyness
# virtual_bms_device_instance=100
# dvcc_output_mode=TEST/shadow
# status1_bits=bit7 pack under-voltage protection; bit6 charge temperature protection; bit5 discharge temperature protection; bit4 discharge over-current protection; bit3 reserved; bit2 charge over-current protection; bit1 cell under-voltage protection; bit0 over-voltage protection
# status2_bits=bit7-bit4 reserved; bit3 module power active; bit2 discharge MOSFET on; bit1 charge MOSFET on; bit0 precharge MOSFET on
# status3_bits=bit7 effective charging; bit6 effective discharging; bit5 heater active; bit4-bit2 reserved; bit3 fully charged; bit2-bit1 reserved; bit0 buzzer active
# status4_bits=bit7-bit0 cell voltage-check faults for cells 8-1 respectively
# status5_bits=bit7-bit0 cell voltage-check faults for cells 16-9 respectively
# initial_addresses=2
timestamp,sample_number,system_voltage_v,soc_percent,bms_temperature_c,vmin_v,vmax_v,spread_mv,battery_current_a,battery_02_present,battery_02_valid,battery_02_voltage_v,battery_02_current_a,battery_02_soc_percent,battery_02_vmin_v,battery_02_vmin_location,battery_02_vmax_v,battery_02_vmax_location,battery_02_spread_mv,battery_02_status1,battery_02_status2,battery_02_status3,battery_02_status4,battery_02_status5,battery_02_cell_01_v,battery_02_cell_02_v,battery_02_cell_03_v,battery_02_cell_04_v,battery_02_cell_05_v,battery_02_cell_06_v,battery_02_cell_07_v,battery_02_cell_08_v,battery_02_cell_09_v,battery_02_cell_10_v,battery_02_cell_11_v,battery_02_cell_12_v,battery_02_cell_13_v,battery_02_cell_14_v,battery_02_cell_15_v,battery_02_cell_16_v,battery_02_temp_01_c,battery_02_temp_02_c,battery_02_temp_03_c,battery_02_temp_04_c,battery_02_temp_05_c,ccl_a,dcl_a,charge_enabled,discharge_enabled,controller_requested_voltage_v,controller_requested_current_a,controller_charge_enabled,controller_command_reason,controller_command_fresh,controller_command_age_s,virtual_bms_effective_cvl_v,virtual_bms_effective_ccl_a,virtual_bms_effective_dcl_a,virtual_bms_charge_enabled,virtual_bms_discharge_enabled,virtual_bms_allow_to_charge,virtual_bms_allow_to_discharge,virtual_bms_thermal_factor,virtual_bms_charge_blocked_by_status,virtual_bms_discharge_blocked_by_status,virtual_bms_charge_blocked_by_controller,virtual_bms_output_valid,virtual_bms_arbitration_reason
11:50:20,1,54.19,100.00,38.85,3.350,3.430,80,1.50,True,True,54.19,1.50,100,3.350,battery 2 cell 11,3.430,battery 2 cell 7,80,0x00,0x0E,0x88,0x00,0x00,3.390,3.386,3.412,3.407,3.408,3.360,3.430,3.356,3.392,3.398,3.350,3.369,3.398,3.368,3.383,3.383,24.0,23.6,23.8,24.2,24.0,0.00,-198.80,False,True,55.20,100.00,True,NORMAL_POLICY,True,8.18,55.20,0.00,198.80,False,True,False,True,1.000,True,False,False,True,TEST_MODE_SHADOW_OUTPUT
11:50:28,2,54.19,100.00,38.95,3.351,3.430,79,1.50,True,True,54.19,1.50,100,3.351,battery 2 cell 11,3.430,battery 2 cell 7,79,0x00,0x0E,0x88,0x00,0x00,3.391,3.386,3.412,3.407,3.409,3.360,3.430,3.356,3.392,3.398,3.350,3.369,3.399,3.368,3.383,3.380,24.0,23.6,23.8,24.2,24.0,0.00,-198.80,False,True,55.20,100.00,True,NORMAL_POLICY,True,8.21,55.20,0.00,198.80,False,True,False,True,1.000,True,False,False,True,TEST_MODE_SHADOW_OUTPUT
11:50:36,3,54.19,100.00,38.95,3.351,3.430,79,1.50,True,True,54.19,1.50,100,3.351,battery 2 cell 11,3.430,battery 2 cell 7,79,0x00,0x0E,0x88,0x00,0x00,3.391,3.387,3.413,3.407,3.409,3.360,3.430,3.356,3.392,3.399,3.351,3.369,3.399,3.368,3.383,3.376,24.0,23.6,23.8,24.2,24.0,0.00,-198.80,False,True,55.20,100.00,True,NORMAL_POLICY,True,8.12,55.20,0.00,198.80,False,True,False,True,1.000,True,False,False,True,TEST_MODE_SHADOW_OUTPUT
11:50:44,4,54.20,100.00,39.05,3.351,3.431,80,1.50,True,True,54.20,1.50,100,3.351,battery 2 cell 11,3.431,battery 2 cell 7,80,0x00,0x0E,0x88,0x00,0x00,3.391,3.387,3.413,3.407,3.409,3.360,3.431,3.356,3.392,3.399,3.351,3.369,3.399,3.368,3.383,3.385,24.0,23.6,23.8,24.2,24.0,0.00,-198.80,False,True,55.20,100.00,True,NORMAL_POLICY,True,8.16,55.20,0.00,198.80,False,True,False,True,1.000,True,False,False,True,TEST_MODE_SHADOW_OUTPUT
11:50:52,5,54.20,100.00,39.05,3.351,3.431,80,1.50,True,True,54.20,1.50,100,3.351,battery 2 cell 11,3.431,battery 2 cell 7,80,0x00,0x0E,0x88,0x00,0x00,3.391,3.387,3.413,3.408,3.409,3.360,3.431,3.356,3.392,3.399,3.351,3.369,3.399,3.368,3.383,3.384,24.0,23.6,23.8,24.2,24.0,0.00,-198.80,False,True,55.20,100.00,True,NORMAL_POLICY,True,8.14,55.20,0.00,198.80,False,True,False,True,1.000,True,False,False,True,TEST_MODE_SHADOW_OUTPUT
11:51:00,6,54.20,100.00,39.05,3.351,3.431,80,1.50,True,True,54.20,1.50,100,3.351,battery 2 cell 11,3.431,battery 2 cell 7,80,0x00,0x0E,0x88,0x00,0x00,3.392,3.387,3.414,3.408,3.410,3.361,3.431,3.357,3.393,3.399,3.351,3.370,3.399,3.368,3.383,3.377,24.0,23.6,23.8,24.2,24.0,0.00,-198.80,False,True,55.20,100.00,True,NORMAL_POLICY,True,8.12,55.20,0.00,198.80,False,True,False,True,1.000,True,False,False,True,TEST_MODE_SHADOW_OUTPUT
11:51:08,7,54.21,100.00,39.05,3.351,3.432,81,1.50,True,True,54.21,1.50,100,3.351,battery 2 cell 11,3.432,battery 2 cell 7,81,0x00,0x0E,0x88,0x00,0x00,3.392,3.388,3.414,3.408,3.410,3.361,3.432,3.357,3.393,3.400,3.351,3.370,3.400,3.368,3.384,3.382,24.0,23.6,23.8,24.2,24.0,0.00,-198.80,False,True,55.20,100.00,True,NORMAL_POLICY,True,8.24,55.20,0.00,198.80,False,True,False,True,1.000,True,False,False,True,TEST_MODE_SHADOW_OUTPUT
11:51:17,8,54.21,100.00,39.05,3.351,3.432,81,1.50,True,True,54.21,1.50,100,3.351,battery 2 cell 11,3.432,battery 2 cell 7,81,0x00,0x0E,0x88,0x00,0x00,3.392,3.388,3.414,3.409,3.410,3.361,3.432,3.357,3.393,3.400,3.351,3.370,3.400,3.369,3.384,3.380,24.0,23.6,23.8,24.2,24.0,0.00,-198.80,False,True,55.20,100.00,True,NORMAL_POLICY,True,8.53,55.20,0.00,198.80,False,True,False,True,1.000,True,False,False,True,TEST_MODE_SHADOW_OUTPUT
11:51:25,9,54.21,100.00,39.05,3.351,3.432,81,1.50,True,True,54.21,1.50,100,3.351,battery 2 cell 11,3.432,battery 2 cell 7,81,0x00,0x0E,0x88,0x00,0x00,3.392,3.388,3.415,3.409,3.410,3.361,3.432,3.357,3.393,3.400,3.351,3.370,3.400,3.369,3.384,3.379,24.0,23.6,23.8,24.2,24.0,0.00,-198.80,False,True,55.20,100.00,True,NORMAL_POLICY,True,8.18,55.20,0.00,198.80,False,True,False,True,1.000,True,False,False,True,TEST_MODE_SHADOW_OUTPUT
11:51:33,10,54.22,100.00,39.15,3.351,3.433,82,1.50,True,True,54.22,1.50,100,3.351,battery 2 cell 11,3.433,battery 2 cell 7,82,0x00,0x0E,0x88,0x00,0x00,3.392,3.388,3.415,3.409,3.411,3.361,3.433,3.357,3.393,3.400,3.351,3.370,3.400,3.369,3.384,3.387,24.0,23.6,23.8,24.2,24.0,0.00,-198.80,False,True,55.20,100.00,True,NORMAL_POLICY,True,8.17,55.20,0.00,198.80,False,True,False,True,1.000,True,False,False,True,TEST_MODE_SHADOW_OUTPUT
